onset	duration	stimuli	trial_type	response	time_before_starting_to_answer
0.014942300040274858	2.0000112000270747	Cross	Fixation	None	None
2.0332369000534527	2.3559212999534793	grøn_yellow	Stimuli	None/pas reconnu	1.5268934240362813
4.528036500036251	2.000006399990525	Cross	Fixation	None	None
6.532866300025489	2.159200399997644	rød_blue	Stimuli	il sort ton fichier	None
8.856194700056221	2.0000083999475464	Cross	Fixation	None	None
10.87158850004198	2.1602220999775454	gul_red	Stimuli	c'est que des trucs comme ça	0.4722222222222222
13.08238880004501	2.0000075999996625	Cross	Fixation	None	None
15.088738700025715	2.1577589000226	blå_white	Stimuli	None/pas reconnu	0.28539682539682537
17.284667400002945	2.0000080000027083	Cross	Fixation	None	None
19.290035700018052	2.1587561000487767	hvid_green	Stimuli	None/pas reconnu	0.45174603174603173
