onset	duration	stimuli	trial_type
0.024498800004948862	1.0000098000018625	:; $+	Noise
1.029610199999297	1.0000066999928094	 #^=-	Noise
2.0339978999982122	1.0000078000011854	:?$µ	Noise
3.0377287000010256	1.0000090999965323	###	Noise
4.042256000000634	1.0000075999996625	pomme	Stimuli
5.046297099994263	1.000010600007954	poire	Stimuli
6.05086200000369	1.000008600007277	abricot	Stimuli
7.05513969999447	1.0000103000056697	mon_test	Stimuli
8.059296099992935	1.000008400005754	:; $+	Noise
9.063326100003906	1.000008799994248	 #^=-	Noise
10.067738700003247	1.0000080000027083	:?$µ	Noise
11.071679899992887	1.0000092999980552	###	Noise
