onset	duration	trial_type	stim_file
0.10405769999488257	1.0000055000127759	Fixation	None
1.1042349999916041	1.0097133999952348	Stimuli	Paradigme_video/Stimuli/body3.mp4
2.2029233999928692	1.0000058000005083	Fixation	None
3.2031144999928074	1.006891099998029	Stimuli	Paradigme_video/Stimuli/body3_scr.mp4
4.333376299997326	1.0000047000066843	Fixation	None
5.3335590999922715	1.0033009000035236	Stimuli	Paradigme_video/Stimuli/body7_scr.mp4
6.478673000005074	1.0001194000069518	Fixation	None
7.479588100002729	1.00386029999936	Stimuli	Paradigme_video/Stimuli/body8_scr.mp4
8.48670769999444	1.000009700001101	Fixation	None
