onset	duration	trial_type	reaction	stim_file
1.3680285999944317	4.0000087000007625	Fixation	None	None
5.366399499995168	2.0000091999972938	stimuli	1.1719219999940833	AM32NES.JPG
7.365152200000011	4.000007299997378	Fixation	None	None
11.366464699996868	2.0000084999992396	stimuli	None	AM32ANS.JPG
13.366203899997345	4.000006200003554	Fixation	None	None
17.36664209999435	2.0000064999985625	stimuli	1.0688702999977977	AM31SAS.JPG
19.364874099999724	4.000008600000001	Fixation	None	None
23.366506099999242	2.0000074000054155	stimuli	1.7307324000066728	AM31DIS.JPG
25.365031099994667	4.000006000002031	Fixation	None	None
29.365969899998163	2.000010999996448	stimuli	1.7619448999976157	AM31HAS.JPG
