onset	duration	stimuli	trial_type
0.025463899997703265	1.000008600000001	:; $+	Noise
1.030523199999152	1.0000049999980547	 #^=-	Noise
2.034493700000894	1.0000073000010161	:?$µ	Noise
3.038297399998555	1.0000069999987318	###	Noise
4.04180389999965	1.0000068000008469	1	Stimuli
5.045592999998917	1.0000054000011005	:; $+	Noise
6.048997199999576	1.0000087000007625	 #^=-	Noise
7.052841599997919	1.0000067000000854	:?$µ	Noise
8.056479899998521	1.0000051999995776	###	Noise
