onset	duration	trial_type	reaction	stim_file
2.3519081999984337	2.0000073999981396	Fixation	None	None
4.399193799996283	1.399990700010676	Stimuli	None	norm_10peu115.wav
5.801451599996653	2.0000069000088843	Fixation	None	None
7.803164900004049	3.160005600002478	Stimuli	1.8173611999955028	norm_10sou123.wav
10.964149799998268	2.000005699999747	Fixation	None	None
12.966451600004802	2.5600102999887895	Stimuli	1.642426099992008	norm_10deg119.wav
15.528048000007402	2.000009700001101	Fixation	None	None
17.530837500002235	7.760004399999161	Stimuli	3.1860704999999143	norm_09pla111.wav
25.330505499994615	2.0000075999996625	Fixation	None	None
27.33338160000858	1.760011200007284	Stimuli	1.4905676000053063	norm_09des112.wav
