block_type	word	response	response_time
friend	hypersensible	None	None
friend	grande-gueule	['3']	0.06114089999755379
friend	indépendant	['4']	0.2772627999947872
friend	loyal	['3']	0.926782299997285
friend	irresponsable	['4']	0.33045740000670776
me	irresponsable	['2']	0.5902615000086371
me	intelligent	['3']	0.27228000000468455
me	mufle	['1']	1.3493267000012565
me	colérique	['4']	1.740992000006372
me	responsable	['2']	1.1312404999916907
me	imaginatif	['2']	0.00012989999959245324
me	ennuyant	['3']	0.3536809999932302
me	irritable	['1']	0.8896352000010666
me	soigneux	['2']	0.3331495000020368
me	pessimiste	['3']	0.29846160000306554
me	grande-gueule	['1', '3']	0.0001078000059351325
me	vantard	['2']	0.5002829000004567
me	énergisé	['1']	5.199998850002885e-05
me	paresseux	['3']	0.2151161000074353
me	comique	['1']	1.6263617999939015
