onset	duration	stimuli	trial_type
0.023745200000121258	1.000008400005754	:; $+	Noise
1.0300637999898754	1.0000064999912865	 #^=-	Noise
2.0337887999921804	1.0000093999988167	:?$µ	Noise
3.037113699989277	1.0000187999976333	###	Noise
4.048290299993823	1.000007700000424	pomme	Stimuli
5.052175199991325	1.0000080000027083	poire	Stimuli
6.057023699991987	1.000008400005754	abricot	Stimuli
7.062148199998774	1.0000068999943323	mon_test	Stimuli
8.065698999998858	1.000006399990525	:; $+	Noise
9.06902579999587	1.000009499999578	 #^=-	Noise
10.072803399991244	1.0000079000019468	:?$µ	Noise
11.076831300000777	1.0000087000080384	###	Noise
