block_type	word	response	response_time
me	indiscret	['2']	2.410079500001302
me	intelligent	['3']	1.7549433999993198
me	sincère	None	None
me	doué	None	None
me	gentil	None	None
friend	égoïste	None	None
friend	jaloux	['2']	3.4082634000005783
friend	désordonné	['3']	0.5138613999988593
friend	soigneux	['2']	1.2558828000001085
friend	tolérant	None	None
