onset	duration	stimuli	trial_type
0.0288425000035204	1.0000071000104072	:; $+	Noise
1.0340355000080308	1.0000072999973781	 #^=-	Noise
2.0376229000103194	1.0000072999973781	:?$µ	Noise
3.0411450000101468	1.000006799993571	###	Noise
4.045798700011801	1.0000093999988167	pomme	Stimuli
5.049891900009243	1.0000059000012698	poire	Stimuli
6.053995500013116	1.0000088999950094	abricot	Stimuli
7.058421900001122	1.000006799993571	mon_test	Stimuli
8.062356700000237	1.000010999996448	:; $+	Noise
9.065956800011918	1.0000075999996625	 #^=-	Noise
10.070436100009829	1.0000082999904407	:?$µ	Noise
11.074791200007894	1.0000058000005083	###	Noise
