onset	duration	trial_type	reaction	stim_file
2.5399423999988358	2.0000136000016937	Fixation	None	None
4.537021399999503	2.000006399997801	stimuli	0.9802007999969646	AM32NES.JPG
6.5346191999997245	2.0000064999985625	Fixation	None	None
8.535982699999295	2.0000087000007625	stimuli	1.825218899997708	AM32ANS.JPG
10.53488720000314	2.0000071999966167	Fixation	None	None
12.53594080000039	2.0000080000027083	stimuli	1.5108015000005253	AM31SAS.JPG
14.534857899998315	2.0000075999996625	Fixation	None	None
16.53605139999854	2.0000096000003396	stimuli	None	AM31DIS.JPG
18.535128199997416	2.0000087000007625	Fixation	None	None
20.53685140000016	2.000014799996279	stimuli	1.2755880999975489	AM31HAS.JPG
