onset	duration	block_type	stim_file	trial_type
1.9822969999950146	3.0000096000003396	None	None	Fixation
4.987238099987735	2.000008099988918	body_scr_static.jpeg	body1_scr_static.jpeg	Stimuli
6.9923530999949435	3.0000109000102384	None	None	Fixation
9.995728599998984	2.0000066999928094	body_scr_static.jpeg	body18_scr_static.jpeg	Stimuli
12.106364699997357	3.000014100005501	None	None	Fixation
15.112546399992425	2.0000079999881564	face_scr_static.jpeg	face14_scr_static.jpeg	Stimuli
17.11738319999131	3.0000129000109155	None	None	Fixation
20.12132049999491	2.0000088999950094	face_scr_static.jpeg	face17_scr_static.jpeg	Stimuli
22.18249239999568	3.0000112999987323	None	None	Fixation
25.185409199999413	2.000008400005754	body_male.jpg	body_male01.jpg	Stimuli
27.189355999988038	3.0000094000133686	None	None	Fixation
30.192990699986694	2.000007700000424	body_male.jpg	body_male05.jpg	Stimuli
