block_type	word	response	response_time
me	paresseux	None	None
me	indifférent	None	None
me	fiable	None	None
me	curieux	None	None
me	soigneux	None	None
syllabe	dépensier	None	None
syllabe	indifférent	None	None
syllabe	obtus	None	None
syllabe	brouillon	None	None
syllabe	sincère	None	None
friend	indifférent	None	None
friend	énergisé	None	None
friend	irresponsable	None	None
friend	ennuyant	None	None
friend	patient	None	None
friend	efficace	['2']	1.3444915000000037
friend	imaginatif	['3']	0.8777606999938143
friend	curieux	['4']	0.5428804999974091
friend	vantard	None	None
friend	dominateur	None	None
