onset	duration	block_type	stim_file	trial_type
0.014736600001924671	1.0000094000060926	None	None	Fixation
1.0172318999975687	1.000008400005754	body_male.jpg1	body_male07.jpg	Stimuli
2.021214400003373	1.000009900002624	None	None	Fixation
3.024185200003558	1.0000093999988167	body_male.jpg1	body_male08.jpg	Stimuli
4.045325600003707	1.0000088999950094	None	None	Fixation
5.049394200003007	1.0000071000031312	house_.jpg1	house_01.jpg	Stimuli
6.0525112000032095	1.0000081999969552	None	None	Fixation
7.0553212000013446	1.0000078000011854	house_.jpg1	house_04.jpg	Stimuli
8.073039000002609	1.0000087000007625	None	None	Fixation
9.076815599997644	1.0000092999980552	body_female.jpg1	body_female09.jpg	Stimuli
10.079989199999545	1.000005299996701	None	None	Fixation
11.082967900001677	1.000006400005077	body_female.jpg1	body_female07.jpg	Stimuli
12.101136999997834	1.000009499999578	None	None	Fixation
13.104877400000987	1.0000091999972938	body_female.jpg1	body_female02.jpg	Stimuli
14.108214300002146	1.0000109000029624	None	None	Fixation
15.110863599998993	1.0000069000016083	body_female.jpg1	body_female03.jpg	Stimuli
16.129131800000323	1.000007499998901	None	None	Fixation
17.13317449999886	1.0000070000023698	face_AFN.jpg	face_AF19N.jpg	Stimuli
18.13642880000407	1.0000090999965323	None	None	Fixation
19.13924589999806	1.0000124000071082	face_AFN.jpg	face_AF05N.jpg	Stimuli
