onset	duration	stimuli	trial_type	response	time_before_starting_to_answer
0.003001000004587695	2.000011000003724	Cross	Fixation	None	None
2.066302300001553	2.381710800000292	grøn_yellow	Stimuli	bon	0.5543990929705216
4.506774100002076	2.0000075999996625	Cross	Fixation	None	None
6.516029800004617	2.1842592999964836	rød_blue	Stimuli	rouge	0.6467120181405895
8.777414000003773	2.0000069000016083	Cross	Fixation	None	None
10.787162000000535	2.191905299994687	gul_red	Stimuli	jaune	0.8714285714285714
13.078706100001	2.0000096000003396	Cross	Fixation	None	None
15.12828840000293	2.2002286999995704	blå_white	Stimuli	blanc	0.5594104308390022
17.38930220000475	2.000007700000424	Cross	Fixation	None	None
19.400076199999603	2.1949869000018225	hvid_green	Stimuli	blanc	0.4617687074829932
