onset	duration	stimuli	trial_type
0.0019028999959118664	1.0000067000000854	Cross	Fixation
1.0077190000010887	1.1630223999964073	grøn_yellow	Stimuli
2.218643799998972	1.0000073999981396	Cross	Fixation
3.222866399999475	1.1582586000004085	rød_blue	Stimuli
4.418076900001324	1.0000069999950938	Cross	Fixation
5.423330199999327	1.1602437000037753	gul_red	Stimuli
6.614749899999879	1.000008400005754	Cross	Fixation
7.620468299995991	1.1548168000008445	blå_white	Stimuli
8.873378899996169	1.0000103000056697	Cross	Fixation
9.879694399998698	1.155479799999739	hvid_green	Stimuli
