onset	duration	stimuli	trial_type
0.0018629999976838008	1.0000070000023698	Cross	Fixation
1.0077306999955908	1.1629944000014802	grøn_yellow	Stimuli
2.256577299995115	1.000007700000424	Cross	Fixation
3.2607051999948453	1.1555093999995734	rød_blue	Stimuli
4.454136199994537	1.0000100000033854	Cross	Fixation
5.459439399994153	1.159283000000869	gul_red	Stimuli
6.703280900001118	1.000006599999324	Cross	Fixation
7.708639399999811	1.159270700001798	blå_white	Stimuli
8.965828299995337	1.000008600000001	Cross	Fixation
9.971241200000804	1.1585422999996808	hvid_green	Stimuli
