onset	duration	trial_type	reaction	stim_file
1.5301105999969877	2.0000102000049083	Fixation	None	None
3.5282288000016706	3.0000085000065155	stimuli	1.8080716999975266	AM32NES.JPG
6.526499300001888	2.000008400005754	Fixation	None	None
8.527177399999346	3.000009899988072	stimuli	None	AM32ANS.JPG
11.52703919999476	2.0000096000003396	Fixation	None	None
13.52773879999586	3.0000049999944167	stimuli	None	AM31SAS.JPG
16.52620459999889	2.0000051999959396	Fixation	None	None
18.527018699998735	3.0000063000043156	stimuli	None	AM31DIS.JPG
21.527280199996312	2.0000066999928094	Fixation	None	None
23.527966499998	3.0000111000117613	stimuli	None	AM31HAS.JPG
