onset	duration	stimuli	trial_type	response	time_before_starting_to_answer
0.0032100999960675836	2.000007700000424	Cross	Fixation	None	None
2.022378200024832	2.2534050999674946	grøn_yellow	Stimuli	jaune	1.4589569160997733
4.397285400016699	2.0000066999928094	Cross	Fixation	None	None
6.402071000018623	2.1625902999658138	rød_blue	Stimuli	verre	0.6224036281179138
8.629866599978413	2.0000064999912865	Cross	Fixation	None	None
10.636184000002686	2.1596754000056535	gul_red	Stimuli	rouge	0.456031746031746
12.861805799999274	2.0000101000186987	Cross	Fixation	None	None
14.879062500025611	2.172608199995011	blå_white	Stimuli	blanc	0.8805442176870748
17.146333099983167	2.000005300040357	Cross	Fixation	None	None
19.152610999997705	2.1716942000202835	hvid_green	Stimuli	verre	0.6458049886621315
