onset	duration	trial_type	reaction	stim_file
9.5080622999958	2.0000054000120144	Fixation	None	None
11.54107049999584	1.3999839000025531	Stimuli	None	norm_10peu115.wav
12.943481499998597	2.000007499998901	Fixation	None	None
14.945728599996073	3.1600098999915645	Stimuli	None	norm_10sou123.wav
18.14567349999561	2.0000068999943323	Fixation	None	None
20.1484308999934	2.5600085000041872	Stimuli	None	norm_10deg119.wav
22.712369299988495	2.0000050000089686	Fixation	None	None
24.714813999991748	7.760004499999923	Stimuli	1.3438243999989936	norm_09pla111.wav
32.513710799990804	2.0000077999866335	Fixation	None	None
34.51637249998748	1.760009000005084	Stimuli	None	norm_09des112.wav
