onset	duration	stimuli	trial_type	response	time_before_starting_to_answer
0.0028215000056661665	2.000009700015653	Cross	Fixation	None	None
2.009972999978345	2.3416928999940865	grøn_yellow	Stimuli	weather	0.30643990929705217
4.379260000016075	2.000008400005754	Cross	Fixation	None	None
6.383744399994612	2.1611009999760427	rød_blue	Stimuli	yellow	0.530249433106576
8.592360700014979	2.0000053999829106	Cross	Fixation	None	None
10.597977700002957	2.16008870000951	gul_red	Stimuli	black	0.7339682539682539
12.81980569998268	2.0000101000186987	Cross	Fixation	None	None
14.82604580000043	2.1603870000108145	blå_white	Stimuli	greener	0.5506802721088435
17.033819900010712	2.0000071999966167	Cross	Fixation	None	None
19.039262300007977	2.1586481999838725	hvid_green	Stimuli	None/pas reconnu	0.5639909297052155
