onset	duration	stimuli	trial_type
0.024737600004300475	1.0000146999955177	:; $+	Noise
1.0317313999985345	1.0000059000012698	 #^=-	Noise
2.0363417000044137	1.0000053999974625	:?$µ	Noise
3.039873300003819	1.000007499998901	###	Noise
4.045973300002515	1.0000091999972938	pomme	Stimuli
5.050627300006454	1.0000055999989854	poire	Stimuli
6.056610300001921	1.0000088000087999	abricot	Stimuli
7.062532099997043	1.0000079000019468	mon_test	Stimuli
8.066123199998401	1.0000142000062624	:; $+	Noise
9.069750100010424	1.0000062999897636	 #^=-	Noise
10.073494099997333	1.0000075999996625	:?$µ	Noise
11.07749799999874	1.0000092999980552	###	Noise
