onset	duration	stimuli	trial_type
0.02520530001493171	2.000009900017176	:; $+	Noise
2.032175100001041	2.000006999995094	 #^=-	Noise
4.036889600014547	2.000008799979696	:?$µ	Noise
6.041399900015676	2.0000056000135373	###	Noise
8.046860900009051	2.0000070000241976	pomme	Stimuli
10.053741300012916	2.0000089000095613	poire	Stimuli
12.061814799992135	2.000007700000424	abricot	Stimuli
14.07069059999776	2.0000081999751274	mon_test	Stimuli
16.07477080001263	2.0000085000065155	:; $+	Noise
18.07924700001604	2.0000084999774117	 #^=-	Noise
20.08400050000637	2.000008299975889	:?$µ	Noise
22.087899600010132	2.000005699985195	###	Noise
