onset	duration	block_type	stim_file	trial_type
0.01572440000018105	2.0000071999966167	None	None	Fixation
2.0185783999986597	2.000009299998055	house_.jpg	house_06.jpg	Stimuli
4.023510799997894	2.0000082999977167	None	None	Fixation
6.0276416999986395	2.000010100004147	house_.jpg	house_02.jpg	Stimuli
8.048617699998431	2.0000118000025395	None	None	Fixation
10.054018599999836	2.000009900002624	body_female.jpg1	body_female01.jpg	Stimuli
12.058664500000305	2.0000091999972938	None	None	Fixation
14.06260420000035	2.0000084999992396	body_female.jpg1	body_female06.jpg	Stimuli
16.083806300004653	2.0000096000003396	None	None	Fixation
18.089073299997835	2.0000096000003396	body_male.jpg	body_male04.jpg	Stimuli
20.09355360000336	2.000009499999578	None	None	Fixation
22.097517700000026	2.000009700001101	body_male.jpg	body_male08.jpg	Stimuli
