onset	duration	stimuli	trial_type
0.0019672000053105876	1.0000069000016083	Cross	Fixation
1.0079336000053445	1.1619295999989845	grøn_yellow	Stimuli
2.232784300002095	1.000009499999578	Cross	Fixation
3.2371673000016017	1.1552381999936188	rød_blue	Stimuli
4.421049900003709	1.0000064999985625	Cross	Fixation
5.426329000001715	1.1535556000017095	gul_red	Stimuli
6.606175599998096	1.0000075999996625	Cross	Fixation
7.611801500002912	1.157533700003114	blå_white	Stimuli
8.824539000001096	1.0000068000008469	Cross	Fixation
9.831047100000433	1.154625200004375	hvid_green	Stimuli
