onset	duration	trial_type	reaction	stim_file
3.8130777999977	2.0000070000023698	Fixation	None	None
5.7998440000010305	2.000008399998478	stimuli	None	AM32NES.JPG
7.797483299997111	2.0000072000038926	Fixation	None	None
9.800072300000465	2.000007700000424	stimuli	None	AM32ANS.JPG
11.799757399996452	2.0000067000000854	Fixation	None	None
13.800045500000124	2.0000055000055	stimuli	0.39782910000212723	AM31SAS.JPG
15.799682500000927	2.0000060999955167	Fixation	None	None
17.799881200000527	2.000010999996448	stimuli	0.9397315000023809	AM31DIS.JPG
19.797275299999455	2.0000089000022854	Fixation	None	None
21.797747199998412	2.0000118000025395	stimuli	1.689209000003757	AM31HAS.JPG
