onset	duration	stimuli	trial_type
0.02392340000369586	2.000012800010154	:; $+	Noise
2.0308558999968227	2.000008799994248	 #^=-	Noise
4.03564699999697	2.0000088000088	:?$µ	Noise
6.039556200004881	2.0000116000010166	###	Noise
8.047425400000066	2.0000093999988167	Pomme	Stimuli
10.053402599995025	2.000005300011253	Terre	Stimuli
12.057481800002279	2.0000086999934865	:; $+	Noise
14.06182329999865	2.0000083000049926	 #^=-	Noise
16.066708199999994	2.0000093999988167	:?$µ	Noise
18.070656800002325	2.000008999995771	###	Noise
