onset	duration	stimuli	trial_type
0.0017770000049495138	1.0000065000058385	Cross	Fixation
1.007805900000676	1.162093899998581	grøn_yellow	Stimuli
2.2586145000022952	1.0000078000011854	Cross	Fixation
3.263013600000704	1.15634080000018	rød_blue	Stimuli
4.493837599999097	1.0000051000024541	Cross	Fixation
5.49865839999984	1.1539531000016723	gul_red	Stimuli
6.715058599998883	1.0000067000000854	Cross	Fixation
7.719997400003194	1.1557156999988365	blå_white	Stimuli
8.95203760000004	1.000007300004654	Cross	Fixation
9.957278200003202	1.1545227999959025	hvid_green	Stimuli
