onset	duration	stimuli	trial_type
0.023461399992811494	1.0000103000056697	:; $+	Noise
1.0284390000015264	1.0000083000049926	 #^=-	Noise
2.0321895999950357	1.0000078000011854	:?$µ	Noise
3.035988499992527	1.0000108999956865	###	Noise
4.0404945999907795	1.0000049999944167	pomme	pomme
5.044347799994284	1.0000075999996625	poire	poire
6.048887099997955	1.000008599992725	abricot	abricot
7.054397500003688	1.0000069000088843	mon_test	mon_test
8.058577699994203	1.000008799994248	:; $+	Noise
9.062343700003112	1.0000049000082072	 #^=-	Noise
10.066124399992987	1.0000101000041468	:?$µ	Noise
11.0701790000021	1.0000079000019468	###	Noise
