onset	duration	stimuli	trial_type	response	time_before_starting_to_answer
0.0014449000009335577	1.000011899996025	Cross	Fixation	bleu	None
1.0071858999945107	2.1605981000029715	grøn_yellow	Stimuli	None	1.0211337868480725
3.2587567000009585	1.000008400005754	Cross	Fixation	jaune	None
4.263178900000639	2.1543111999999383	rød_blue	Stimuli	None	0.5738321995464852
6.482701100001577	1.0000045999986469	Cross	Fixation	None/pas reconnu	None
7.488063199998578	2.1581617000047117	gul_red	Stimuli	None	0.9611564625850341
9.743693299998995	1.0000071999966167	Cross	Fixation	noir	None
10.748626799999329	2.156008199999633	blå_white	Stimuli	None	0.6036961451247166
12.965134899997793	1.000007499998901	Cross	Fixation	plan	None
13.970812299994577	2.1562942000018666	hvid_green	Stimuli	None	0.4561224489795918
