block_type	word	response	response_time
me	pessimiste	None	None
me	grande-gueule	None	None
me	vantard	None	None
me	obtus	None	None
me	querelleur	None	None
syllabe	irritable	None	None
syllabe	possessif	None	None
syllabe	poli	None	None
syllabe	dépensier	None	None
syllabe	énergisé	None	None
