onset	duration	trial_type	angle	stim_file
0.030599500008975156	1.0000132999994094	Stimuli	0	body1_scr_static.jpeg
1.0331214000034379	1.0000084999919636	Fixation	None	None
2.060253500007093	1.0000066999928094	Stimuli	23	body11_static.jpeg
3.0637283000105526	1.0000061000027927	Fixation	None	None
4.091443199999048	1.000006400005077	Stimuli	180	body14_static.jpeg
5.09374480000406	1.0000050999951782	Fixation	None	None
